"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","89569","","","","0"
"2017","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","47042","","","","0"
"2018","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","47653","","","","0"
"2019","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","48682","","","","0"
"2020","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","49730","","","","0"
"2021","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","50629","","","","0"
"2022","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","52324","","","","0"
"2023","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","55007","","","","0"
"2024","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","57346","","","","0"
"2025","Prince Edward Island","2021A000211","Men+","16 to 64 years","Persons","249","units","0","v467605","3.2.97","58212","","","","0"
"2017","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","13233","","","","0"
"2018","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","13634","","","","0"
"2019","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","14118","","","","0"
"2020","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","14631","","","","0"
"2021","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","15248","","","","0"
"2022","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","15789","","","","0"
"2023","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","16346","","","","0"
"2024","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","16858","","","","0"
"2025","Prince Edward Island","2021A000211","Men+","65 years and older","Persons","249","units","0","v467317","3.2.104","17412","","","","0"
"2017","Prince Edward Island","2021A000211","Women+","All ages","Persons","249","units","0","v467300","3.3.1","76735","","","","0"
"2018","Prince Edward Island","2021A000211","Women+","All ages","Persons","249","units","0","v467300","3.3.1","77970","","","","0"
"2019","Prince Edward Island","2021A000211","Women+","All ages","Persons","249","units","0","v467300","3.3.1","79771","","","","0"
"2020","Prince Edward Island","2021A000211","Women+","All ages","Persons","249","units","0","v467300","3.3.1","81581","","","","0"
"2021","Prince Edward Island","2021A000211","Women+","All ages","Persons","249","units","0","v467300","3.3.1","83078","","","","0"
"2022","Prince Edward Island","2021A000211","Women+","All ages","Persons","249","units","0","v467300","3.3.1","85588","","","","0"
"2023","Prince Edward Island","2021A000211","Women+","All ages","Persons","249","units","0","v467300","3.3.1","88739","","","","0"
"2024","Prince Edward Island","2021A000211","Women+","All ages","Persons","249","units","0","v467300","3.3.1","91627","","","","0"
